district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
板橋區,房地(土地+建物),新北市板橋區國泰街３９巷７弄４號二樓,34,住,,,1110415,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741120,112.9,3,2,2,有,無,10000000,88574,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPQMLTLMHHGFAF38DA,101.16,0,11.74,無
板橋區,房地(土地+建物),新北市板橋區英士路２２號四樓,20.4,住,,,1110410,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700418,86.41,5,0,5,有,無,12000000,138873,,0,0,,RPUOMLOLNHHGFAF28DA,81.63,0,4.78,無
板橋區,房地(土地+建物),新北市板橋區金門街１３１號三樓,38.72,住,,,1110402,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,133.75,4,2,2,有,無,13100000,97944,,0,0,,RPVOMLOLNHHGFAF38DA,127.13,0,6.62,無
板橋區,房地(土地+建物),新北市板橋區金華街９巷６號二樓,35.57,住,,,1110417,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,761124,142.73,4,2,2,有,無,15500000,108597,,0,0,陽台外推；,RPOSMLPLNHHGFAF18DA,115.07,0,13.46,無
板橋區,房地(土地+建物)+車位,新北市板橋區板新路４９號十一樓,14.53,住,,,1110420,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,930830,127.27,2,2,1,有,有,18500000,145360,坡道平面,0,0,,RPXNMLQLNHHGFAF68DA,58.78,0.81,4.92,有
板橋區,房地(土地+建物)+車位,新北市板橋區篤行路三段５２號四樓,13.97,住,,,1110417,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,890129,132.05,3,2,2,有,有,11700000,88603,坡道平面,26.37,0,陽台外推；,RPPNMLLLNHHGFAF37DA,76.05,0,7.46,有
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路三段１６０巷３４弄２９號五樓之一,11.74,住,,,1110415,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,851119,96.74,2,1,1,有,有,9700000,100269,坡道平面,0,0,,RPWOMLTKNHHGFAF88DA,52.94,0.97,6.95,有
板橋區,房地(土地+建物),新北市板橋區忠孝路１９６巷６號十樓,14.72,住,,,1110415,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100324,109.89,2,2,2,有,無,20500000,186550,,0,0,本案尚未成立管理委員會。含裝潢費；預售屋、或土地及建物分件登記案件；,RPWRMLKLNHHGFAF38DA,62.5,6.37,3.77,有
板橋區,房地(土地+建物),新北市板橋區三民路二段正泰六巷１號四樓,30.62,住,,,1110411,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730920,102.91,3,2,2,有,有,14800000,143815,,0,0,其他增建；,RPSOMLQLNHHGFAF28DA,92.6,0,10.31,無
板橋區,房地(土地+建物),新北市板橋區文新路１８號四樓,27,住,,,1110420,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.87,2,2,1,有,無,8900000,118873,,0,0,頂樓加蓋；,RPVOMLPLNHHGFAF48DA,74.87,0,0,無
板橋區,房地(土地+建物)+車位,新北市板橋區大漢街４３號十樓,13.78,住,,,1110422,土地2建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080909,119.82,2,2,1,有,有,17330000,172325,坡道平面,30.86,2000000,,RPRPMLPLNHHGFAF18DA,47.22,5.98,6.84,有
板橋區,房地(土地+建物),新北市板橋區中正路３９９巷６號二樓,30.88,住,,,1110407,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790605,118.6,4,2,2,有,無,6000000,50590,,0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPTNMLPLNHHGFAF18DA,91.91,4.48,9.96,無
板橋區,房地(土地+建物),新北市板橋區國慶路１６９號二樓,30.98,住,,,1110403,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711215,113.23,4,2,1,有,無,12000000,105979,,0,0,陽台外推；,RPSSMLMLMHHGFAF18DA,105.13,0,8.1,無
板橋區,房地(土地+建物),新北市板橋區龍泉街１１９號四樓,7.76,住,,,1110402,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,840630,43.03,1,1,1,有,有,6000000,139438,,0,0,其他增建；,RPVPMLTKMHHGFAF78DA,30.57,0,0,有
板橋區,房地(土地+建物),新北市板橋區莊敬路１３８號四樓,32.53,住,,,1110401,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,100.98,3,2,1,有,無,12860000,127352,,0,0,法定空地增建陽台外推；其他增建；,RPXSMLNJNHHGFAF68DA,92.01,0,8.97,無
板橋區,房地(土地+建物),新北市板橋區大觀路二段１７４巷１７９弄１５號五樓,17.26,住,,,1110428,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,63.7,2,2,1,有,無,4950000,77708,,0,0,,RPWOMLNJNHHGFAF18DA,55.9,0,7.8,無
板橋區,房地(土地+建物)+車位,新北市板橋區溪崑二街１２４巷８號,43.24,住,,,1110408,土地1建物1車位1,一層，地下層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,790430,185.45,5,3,3,有,有,15700000,93033,坡道平面,38.2,2000000,其他增建：一樓廚房外推、地下層後方外推其他增建；,RPPNMLKMMHHGFAF27DA,173.73,7.39,0,無
板橋區,房地(土地+建物),新北市板橋區永豐街５５巷１２弄１３號二樓,27,住,,,1110402,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700304,86.74,3,2,2,有,無,8640000,99608,,0,0,,RPQNMLMJMHHGFAF27DA,83.14,0,3.6,無
板橋區,房地(土地+建物),新北市板橋區新海路４０３巷１８號四樓,32.12,住,,,1110429,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,106.39,3,2,2,有,無,10400000,97754,,0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPTNMLQLNHHGFAF38EA,92.01,0,14.38,無
板橋區,房地(土地+建物),新北市板橋區篤行路二段１４１巷４號二樓,25.97,商,,,1110404,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,87.17,3,2,1,有,無,5700000,65389,,0,0,,RPSPMLQLNHHGFAF48EA,87.17,0,0,無
板橋區,房地(土地+建物),新北市板橋區陽明街１６４巷１０弄１號四樓,26.8,住,,,1110406,土地3建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,91.39,3,2,1,有,無,12500000,136776,,0,0,其他增建；,RPXPMLQLNHHGFAF98EA,91.39,0,0,無
板橋區,房地(土地+建物),新北市板橋區華興街５７號五樓,28.2,住,,,1110420,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,94.61,7,0,7,有,無,10460000,110559,,0,0,陽台外推；其他增建；,RPVOMLRLNHHGFAF78EA,89.11,0,5.5,無
板橋區,房地(土地+建物),新北市板橋區四維路２６９巷７７號四樓,20.6,住,,,1110415,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,84.18,3,2,1,有,無,9500000,112853,,0,0,陽台外推；,RPPRMLNKNHHGFAF87DA,84.18,0,0,無
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路５８０號十二樓,22.37,商,,,1110407,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100421,190.14,3,2,2,有,有,30900000,178449,坡道平面,29.87,2300000,,RPSPMLMKNHHGFAF87DA,88.29,10.33,5.48,有
板橋區,房地(土地+建物),新北市板橋區民權路２０２巷１６弄６號二樓,37,住,,,1110424,土地1建物1車位0,二層，陽台,三層,公寓(5樓含以下無電梯),住家用,加強磚造,610310,92.4,3,2,1,有,無,13680000,148052,,0,0,陽台外推；其他增建；,RPSQMLKKNHHGFAF77DA,92.4,0,0,無
板橋區,車位,新北市板橋區合宜路７３號等,0.26,住,,,1110420,土地1建物1車位1,,,其他,,,,31.28,0,0,0,有,有,1280000,,坡道平面,31.28,1280000,僅車位交易；,RPTUMLLLMHHGFAF38DA,0,0,0,有
